sample_size,kmeans_time_sec,kmeans_std_sec,dbscan_time_sec,dbscan_std_sec,ratio
50,0.018027566683789093,0.0003374618656186178,0.0007206999968426923,8.669338255080513e-05,0.039977663623941354
100,0.01777330000186339,0.00031804555861830437,0.0007187000010162592,2.8469046547533197e-05,0.04043706013744826
200,0.01876353332772851,0.0009344950677590994,0.0009150333353318274,4.323935587420063e-05,0.04876657926572938
500,0.02092823333805427,0.00011490682388030752,0.0017900666571222246,7.221912979284835e-05,0.08553357697265859
1000,0.025424133345950395,6.637884664004546e-05,0.0038545333275881908,0.00034903947202790574,0.1516092318718958
2000,0.011167299991939217,8.163937340464708e-05,0.010243500000797212,0.0012875563102181535,0.9172763343145772
3000,0.013360666654383143,0.00016307913235225562,0.014495000029758861,0.000766620248992449,1.0849009562710394
5000,0.014234333318502953,0.000552478488341934,0.03155626665102318,0.003575651154724433,2.2169121619488674
7500,0.016669733333401382,0.0011074260875405164,0.053181399998720735,0.0012951838723481302,3.1902969852649297
10000,0.01816440001130104,0.0005501302916958001,0.09164243333119278,0.007234690980103624,5.045167100161698
15000,0.02336576666372518,0.0005133849161119086,0.16321536665782332,0.0012330076688947375,6.985234809830207
20000,0.02932120000089829,0.0018771422174347263,0.27092496666591614,0.004064627449610705,9.239900367570769
30000,0.03668726666364819,0.0015143858130887919,0.5197836999820235,0.017534822711813898,14.167959274465504
50000,0.07299746666103601,0.00014002868487226388,1.211129000002984,0.013698751625179204,16.59138399455512
